"Order_Number","Predicted_Price"
143,2260.60936334483
144,1837.0532965368
145,2200.74179307359
146,1675.08459565884
147,1924.40657331966
148,1770.48551924742
149,2220.39105249661
150,1744.85654956558
151,1379.88843452381
152,1758.72460550887
153,1409.41087772351
154,2578.70577873301
155,1476.80026507937
156,2351.46638021978
157,1869.24952125815
158,1728.86144057301
159,2297.03029891775
160,1927.55385126899
161,1462.67637056277
162,1948.34978855589
163,1989.08536239316
164,2116.35957549001
165,1805.49495714286
166,1463.04508151467
167,2223.92063816739
168,1429.75798418248
169,1397.49942265512
170,1769.90555675109
171,1254.57494700789
172,2019.45397535863
173,1510.28695555556
174,2724.35564444445
175,1823.4480958042
176,2302.74128861139
177,1893.58942456879
178,1860.71680822511
179,1429.75320249293
180,1227.36491551227
181,2216.36944767455
182,2239.29006231884
183,1696.41809108669
184,1624.96267591036
185,1941.27886800595
186,1838.65031264418
187,1880.29273847264
188,2047.73106464825
189,1610.15200624378
190,1153.84621301242
191,1422.17735317036
192,1786.65131016625
193,1979.92174055944
194,1772.60779200603
195,1379.4410636602
196,1787.36839848105
197,2387.13195494505
198,1890.37104921304
199,1340.32534305139
200,1804.29850761035
201,2165.1716538739
202,2538.18446666667
203,1275.51874163788
204,1580.70407038091
205,1789.19279813797
206,2022.59724611663
207,1892.78361515152
208,2409.08137373737
209,1600.78065603402
210,2286.51489393939
211,1237.2599659012
212,1772.6810998557
213,1263.25640920635
214,2039.14003547828
215,2400.81898095238
216,1377.58073545258
217,1731.62422877515
218,1305.50781353496
219,1885.68220638238
220,1290.85858133624
221,1479.22064917766
222,1403.60840266955
223,2198.05032323232
224,1538.35432952668
225,1749.84704792116
226,2263.3591937022
227,1218.21619520594
228,1402.18702564298
229,1654.58745898618
230,1218.81491855885
231,2613.16266838364
232,1472.21604850994
233,2423.556
234,1588.9056649508
235,2429.63365020886
236,2173.36812104105
237,1718.90353438567
238,1414.92656999184
239,1306.2633906132
240,1284.95516070348
241,1563.86442857143
242,1588.80471367471
243,1822.35444935612
244,2871.50790476191
245,1539.24542162593
246,1967.30524921021
247,2014.47705286935
248,1429.10211039753
249,1784.03488610039
250,1664.89663074353
251,1675.22331271272
252,1415.33897893218
